iter	Passed	Remaining
940	1676	16136
941	1677	16128
942	1679	16126
943	1680	16122
944	1682	16118
945	1683	16113
946	1685	16108
947	1685	16096
948	1687	16091
949	1688	16088
950	1690	16084
951	1692	16083
952	1694	16079
953	1695	16075
954	1697	16074
955	1700	16081
956	1701	16078
957	1703	16073
958	1704	16066
959	1706	16063
960	1707	16059
961	1709	16055
962	1710	16049
963	1711	16042
964	1713	16041
965	1715	16042
966	1717	16037
967	1718	16030
968	1719	16024
969	1721	16019
970	1721	16006
971	1723	16001
972	1724	15995
973	1726	15995
974	1727	15990
975	1729	15987
976	1730	15982
977	1732	15978
978	1733	15974
979	1734	15967
980	1736	15959
981	1737	15953
982	1738	15946
983	1741	15950
984	1742	15950
985	1744	15946
986	1745	15941
987	1747	15935
988	1748	15930
989	1749	15923
990	1751	15916
991	1752	15909
992	1753	15907
993	1755	15901
994	1756	15896
995	1757	15889
996	1759	15883
997	1760	15877
998	1761	15870
999	1763	15867
1000	1764	15861
1001	1765	15856
1002	1767	15850
1003	1768	15844
1004	1769	15837
1005	1771	15832
1006	1772	15826
1007	1773	15822
1008	1775	15817
1009	1776	15810
1010	1777	15803
1011	1778	15797
1012	1780	15792
1013	1783	15799
1014	1784	15797
1015	1786	15792
1016	1787	15788
1017	1789	15783
1018	1790	15780
1019	1792	15776
1020	1793	15772
1021	1794	15766
1022	1796	15762
1023	1797	15758
1024	1799	15754
1025	1801	15752
1026	1802	15746
1027	1803	15739
1028	1805	15734
1029	1806	15730
1030	1807	15722
1031	1809	15718
1032	1810	15714
1033	1812	15710
1034	1813	15706
1035	1815	15708
1036	1817	15705
1037	1818	15698
1038	1819	15691
1039	1821	15687
1040	1822	15683
1041	1824	15682
1042	1825	15675
1043	1826	15669
1044	1828	15663
1045	1829	15659
1046	1830	15654
1047	1832	15649
1048	1834	15648
1049	1835	15642
1050	1837	15644
1051	1839	15641
1052	1840	15638
1053	1842	15634
1054	1843	15631
1055	1845	15629
1056	1847	15626
1057	1849	15632
1058	1851	15631
1059	1852	15625
1060	1854	15620
1061	1855	15616
1062	1856	15610
1063	1858	15605
1064	1859	15598
1065	1860	15591
1066	1861	15586
1067	1863	15580
1068	1865	15586
1069	1867	15580
1070	1868	15573
1071	1869	15567
1072	1870	15564
1073	1872	15558
1074	1873	15553
1075	1874	15547
1076	1876	15541
1077	1877	15534
1078	1879	15535
1079	1880	15531
1080	1882	15526
1081	1883	15520
1082	1884	15514
1083	1885	15508
1084	1887	15503
1085	1888	15497
1086	1889	15493
1087	1891	15488
1088	1893	15489
1089	1894	15486
1090	1896	15485
1091	1898	15483
1092	1900	15481
1093	1901	15476
1094	1902	15469
1095	1903	15464
1096	1904	15457
1097	1907	15464
1098	1908	15459
1099	1910	15453
1100	1911	15447
1101	1912	15443
1102	1914	15438
1103	1915	15434
1104	1916	15428
1105	1918	15422
1106	1919	15417
1107	1921	15419
1108	1923	15419
1109	1924	15414
1110	1926	15408
1111	1927	15402
1112	1928	15396
1113	1929	15391
1114	1931	15386
1115	1932	15381
1116	1934	15381
1117	1935	15377
1118	1937	15376
1119	1939	15373
1120	1940	15371
1121	1942	15366
1122	1943	15362
1123	1944	15357
1124	1946	15354
1125	1949	15359
1126	1950	15356
1127	1952	15353
1128	1953	15350
1129	1955	15349
1130	1957	15345
1131	1958	15341
1132	1959	15336
1133	1961	15330
1134	1963	15334
1135	1965	15331
1136	1966	15326
1137	1967	15321
1138	1968	15315
1139	1970	15311
1140	1971	15306
1141	1973	15302
1142	1974	15296
1143	1976	15299
1144	1978	15296
1145	1979	15295
1146	1981	15294
1147	1983	15291
1148	1984	15285
1149	1985	15280
1150	1987	15274
1151	1988	15270
1152	1991	15277
1153	1993	15279
1154	1994	15275
1155	1996	15270
1156	1997	15265
1157	1999	15262
1158	2000	15257
1159	2001	15251
1160	2002	15245
1161	2005	15250
1162	2006	15248
1163	2008	15245
1164	2010	15242
1165	2011	15238
1166	2013	15237
1167	2015	15235
1168	2017	15236
1169	2018	15234
1170	2020	15231
1171	2022	15230
1172	2024	15230
1173	2025	15225
1174	2026	15219
1175	2027	15213
1176	2029	15208
1177	2030	15203
1178	2032	15208
1179	2034	15203
1180	2035	15197
1181	2036	15191
1182	2037	15186
1183	2039	15182
1184	2040	15180
1185	2042	15175
1186	2043	15169
1187	2044	15165
1188	2046	15166
1189	2048	15163
1190	2049	15158
1191	2050	15152
1192	2052	15146
1193	2053	15143
1194	2054	15138
1195	2056	15134
1196	2057	15130
1197	2059	15129
1198	2060	15126
1199	2062	15124
1200	2064	15121
1201	2066	15121
1202	2067	15115
1203	2068	15109
1204	2069	15105
1205	2071	15100
1206	2072	15098
1207	2074	15095
1208	2075	15092
1209	2077	15090
1210	2079	15088
1211	2080	15086
1212	2082	15082
1213	2083	15078
1214	2084	15072
1215	2086	15067
1216	2087	15066
1217	2089	15062
1218	2090	15056
1219	2091	15052
1220	2092	15046
1221	2094	15041
1222	2095	15038
1223	2097	15033
1224	2098	15029
1225	2099	15025
1226	2101	15023
1227	2102	15018
1228	2104	15015
1229	2105	15011
1230	2106	15007
1231	2108	15002
1232	2109	14997
1233	2110	14991
1234	2112	14988
1235	2113	14983
1236	2115	14985
1237	2117	14983
1238	2118	14980
1239	2120	14980
1240	2122	14976
1241	2123	14971
1242	2124	14966
1243	2126	14962
1244	2127	14956
1245	2129	14958
1246	2130	14954
1247	2131	14949
1248	2133	14944
1249	2134	14939
1250	2135	14933
1251	2137	14930
1252	2138	14925
1253	2139	14921
1254	2140	14916
1255	2142	14915
1256	2143	14910
1257	2146	14912
1258	2148	14912
1259	2149	14907
1260	2150	14903
1261	2151	14897
1262	2152	14891
1263	2154	14887
1264	2156	14891
1265	2158	14888
1266	2159	14884
1267	2161	14881
1268	2162	14879
1269	2164	14878
1270	2166	14877
1271	2168	14876
1272	2170	14880
1273	2172	14878
1274	2173	14873
1275	2174	14867
1276	2176	14862
1277	2177	14857
1278	2178	14854
1279	2179	14848
1280	2181	14845
1281	2182	14840
1282	2184	14840
1283	2186	14837
1284	2187	14835
1285	2189	14833
1286	2190	14829
1287	2192	14828
1288	2193	14824
1289	2195	14823
1290	2199	14837
1291	2201	14834
1292	2202	14829
1293	2203	14825
1294	2205	14820
1295	2206	14816
1296	2207	14812
1297	2209	14807
1298	2210	14803
1299	2212	14804
1300	2213	14799
1301	2215	14796
1302	2216	14792
1303	2217	14787
1304	2218	14782
1305	2220	14776
1306	2221	14774
1307	2223	14770
1308	2224	14767
1309	2226	14769
1310	2228	14765
1311	2229	14764
1312	2231	14763
1313	2233	14759
1314	2234	14754
1315	2235	14750
1316	2237	14747
1317	2238	14742
1318	2240	14745
1319	2241	14740
1320	2243	14736
1321	2244	14731
1322	2245	14728
1323	2247	14723
1324	2248	14720
1325	2249	14715
1326	2251	14711
1327	2252	14705
1328	2254	14708
1329	2256	14705
1330	2257	14701
1331	2258	14696
1332	2259	14691
1333	2261	14686
1334	2262	14683
1335	2263	14677
1336	2265	14674
1337	2266	14669
1338	2268	14669
1339	2269	14665
1340	2271	14662
1341	2272	14657
1342	2273	14654
1343	2274	14650
1344	2276	14645
1345	2277	14641
1346	2278	14636
1347	2280	14632
1348	2282	14634
1349	2283	14631
1350	2284	14626
1351	2286	14621
1352	2287	14618
1353	2288	14613
1354	2290	14610
1355	2291	14606
1356	2292	14601
1357	2294	14598
1358	2296	14598
1359	2297	14594
1360	2298	14591
1361	2300	14586
1362	2301	14582
1363	2303	14581
1364	2305	14580
1365	2306	14576
1366	2307	14571
1367	2309	14569
1368	2310	14567
1369	2312	14566
1370	2314	14563
1371	2315	14561
1372	2317	14560
1373	2319	14557
1374	2320	14555
1375	2322	14555
1376	2324	14555
1377	2326	14553
1378	2327	14548
1379	2328	14545
1380	2330	14542
1381	2331	14539
1382	2333	14534
1383	2334	14530
1384	2335	14525
1385	2337	14526
1386	2339	14524
1387	2340	14519
1388	2341	14514
1389	2342	14511
1390	2344	14506
1391	2345	14503
1392	2347	14500
1393	2348	14497
1394	2350	14494
1395	2351	14493
1396	2353	14488
1397	2354	14484
1398	2355	14481
1399	2356	14476
1400	2358	14472
1401	2359	14467
1402	2360	14463
1403	2361	14459
1404	2363	14455
1405	2365	14460
1406	2367	14455
1407	2368	14450
1408	2369	14446
1409	2370	14442
1410	2372	14438
1411	2373	14434
1412	2375	14431
1413	2376	14426
1414	2377	14422
1415	2379	14423
1416	2381	14420
1417	2382	14416
1418	2383	14412
1419	2384	14408
1420	2386	14403
1421	2387	14400
1422	2388	14397
1423	2390	14393
1424	2392	14393
1425	2393	14390
1426	2394	14386
1427	2396	14382
1428	2397	14378
1429	2398	14375
1430	2400	14371
1431	2401	14366
1432	2402	14361
1433	2404	14359
1434	2406	14360
1435	2408	14359
1436	2409	14354
1437	2410	14350
1438	2411	14346
1439	2412	14341
1440	2414	14339
1441	2415	14335
1442	2416	14330
1443	2418	14327
1444	2420	14326
1445	2421	14323
1446	2422	14320
1447	2424	14317
1448	2425	14312
1449	2426	14307
1450	2427	14303
1451	2429	14299
1452	2430	14297
1453	2432	14292
1454	2433	14291
1455	2435	14288
1456	2436	14283
1457	2437	14280
1458	2439	14277
1459	2440	14273
1460	2441	14269
1461	2443	14265
1462	2444	14262
1463	2446	14260
1464	2448	14265
1465	2450	14262
1466	2451	14258
1467	2452	14253
1468	2454	14251
1469	2455	14246
1470	2456	14242
1471	2458	14238
1472	2459	14238
1473	2461	14235
1474	2463	14234
1475	2464	14233
1476	2466	14230
1477	2467	14228
1478	2469	14225
1479	2471	14223
1480	2472	14221
1481	2474	14221
1482	2476	14222
1483	2478	14218
1484	2479	14214
1485	2480	14211
1486	2481	14207
1487	2483	14202
1488	2484	14198
1489	2485	14194
1490	2486	14191
1491	2488	14187
1492	2490	14189
1493	2491	14185
1494	2492	14180
1495	2494	14176
1496	2495	14173
1497	2496	14169
1498	2498	14166
1499	2499	14163
1500	2500	14159
1501	2502	14156
1502	2504	14157
1503	2506	14154
1504	2507	14151
1505	2508	14147
1506	2509	14142
1507	2510	14138
1508	2512	14135
1509	2513	14132
1510	2515	14128
1511	2516	14127
1512	2518	14125
1513	2519	14120
1514	2520	14117
1515	2522	14114
1516	2524	14114
1517	2525	14111
1518	2527	14107
1519	2528	14104
1520	2529	14100
1521	2532	14105
1522	2533	14101
1523	2535	14097
1524	2536	14093
1525	2537	14091
1526	2540	14094
1527	2541	14091
1528	2543	14087
1529	2544	14085
1530	2546	14084
1531	2547	14082
1532	2549	14078
1533	2550	14074
1534	2551	14070
1535	2553	14066
1536	2554	14064
1537	2556	14062
1538	2557	14057
1539	2559	14056
1540	2560	14053
1541	2561	14049
1542	2562	14045
1543	2564	14042
1544	2565	14038
1545	2566	14034
1546	2568	14030
1547	2569	14026
1548	2570	14023
1549	2572	14021
1550	2574	14024
1551	2575	14020
1552	2577	14016
1553	2578	14012
1554	2579	14009
1555	2581	14006
1556	2582	14002
1557	2583	13998
1558	2584	13994
1559	2586	13991
1560	2588	13991
1561	2589	13989
1562	2591	13984
1563	2592	13980
1564	2593	13976
1565	2594	13971
1566	2596	13970
1567	2597	13966
1568	2598	13963
1569	2600	13961
1570	2602	13960
1571	2603	13956
1572	2605	13954
1573	2606	13952
1574	2607	13947
1575	2609	13944
1576	2610	13940
1577	2611	13935
1578	2612	13933
