iter	RMSE
484	22055.51317
485	22044.63538
486	22034.2683
487	22022.4418
488	22011.51144
489	22000.84285
490	21989.34035
491	21976.28971
492	21964.7471
493	21952.69596
494	21941.02455
495	21930.23922
496	21919.40077
497	21908.2483
498	21895.32956
499	21883.18023
500	21870.21487
501	21858.70533
502	21846.4834
503	21835.26383
504	21826.25175
505	21816.75719
506	21807.18558
507	21796.63773
508	21786.62995
509	21773.92072
510	21762.84522
511	21749.67724
512	21739.82117
513	21727.65425
514	21718.05247
515	21708.57682
516	21698.99935
517	21685.46568
518	21677.11774
519	21666.79396
520	21654.66029
521	21643.46898
522	21635.06659
523	21625.04111
524	21612.60011
525	21602.08316
526	21591.57947
527	21581.89837
528	21573.20719
529	21563.97377
530	21553.74996
531	21543.54007
532	21534.83631
533	21526.89811
534	21515.51763
535	21504.64625
536	21494.67973
537	21486.59645
538	21477.12147
539	21467.02096
540	21458.38031
541	21450.31465
542	21441.25241
543	21430.17613
544	21419.89232
545	21411.0476
546	21403.00517
547	21394.34743
548	21383.9134
549	21376.45572
550	21369.31975
551	21360.57748
552	21349.28496
553	21340.71729
554	21333.67763
555	21327.17447
556	21317.01283
557	21306.95488
558	21298.15697
559	21289.13229
560	21279.82732
561	21271.94057
562	21263.55223
563	21256.46214
564	21249.12664
565	21239.50676
566	21229.88703
567	21223.1805
568	21216.51495
569	21208.23385
570	21199.7787
571	21191.4095
572	21182.85617
573	21176.17239
574	21165.82203
575	21156.05313
576	21148.95158
577	21141.95072
578	21134.83326
579	21127.19332
580	21119.83501
581	21113.03834
582	21105.87671
583	21097.73285
584	21088.91289
585	21079.99511
586	21071.98401
587	21063.8988
588	21056.34933
589	21050.6741
590	21042.15612
591	21034.28891
592	21028.49503
593	21017.51735
594	21010.70022
595	21003.0678
596	20992.78463
597	20984.89328
598	20976.04305
599	20969.38124
600	20963.13554
601	20954.64189
602	20945.52461
603	20939.78427
604	20930.25808
605	20923.24062
606	20915.27067
607	20907.1898
608	20898.10623
609	20890.63705
610	20882.58256
611	20876.98743
612	20871.05398
613	20863.84354
614	20858.60765
615	20851.33908
616	20844.13463
617	20836.65443
618	20831.02561
619	20824.32418
620	20816.21096
621	20809.7774
622	20802.13637
623	20794.33916
624	20788.06897
625	20782.35164
626	20774.86539
627	20767.18938
628	20758.60057
629	20750.45391
630	20744.03384
631	20736.28841
632	20730.90245
633	20726.36228
634	20717.57025
635	20712.27105
636	20704.01628
637	20696.80692
638	20691.16336
639	20685.76072
640	20678.37022
641	20672.33098
642	20665.8168
643	20660.26471
644	20653.42838
645	20646.33022
646	20640.38906
647	20635.54077
648	20627.75053
649	20621.16412
650	20615.41929
651	20609.89948
652	20603.47032
653	20596.18039
654	20588.759
655	20583.03186
656	20575.90404
657	20568.1028
658	20562.0995
659	20556.14543
660	20551.47143
661	20544.26691
662	20538.7621
663	20533.61014
664	20528.57718
665	20522.09704
666	20514.67879
667	20509.23248
668	20502.81936
669	20496.14693
670	20488.0555
671	20481.94359
672	20476.66147
673	20472.99718
674	20466.42351
675	20462.73406
676	20455.24042
677	20449.47537
678	20443.64273
679	20439.10952
680	20433.54255
681	20428.28148
682	20423.81555
683	20417.02848
684	20413.0347
685	20408.21662
686	20403.00355
687	20397.01254
688	20391.46298
689	20383.85981
690	20376.66201
691	20370.1647
692	20363.12927
693	20357.88513
694	20352.40909
695	20347.70417
696	20342.60643
697	20338.43514
698	20333.7647
699	20329.24997
700	20323.49746
701	20316.55089
702	20311.50579
703	20305.78994
704	20301.16327
705	20297.49839
706	20291.63199
707	20287.40146
708	20281.35655
709	20276.9607
710	20272.63821
711	20266.57131
712	20262.56238
713	20256.83152
714	20252.75955
715	20248.94871
716	20242.96955
717	20235.87281
718	20231.26382
719	20226.44465
720	20221.95942
721	20215.72332
722	20211.63062
723	20207.15792
724	20200.73675
725	20196.15912
726	20189.18722
727	20183.88024
728	20177.97971
729	20171.81021
730	20165.24675
731	20162.15554
732	20156.66545
733	20151.452
734	20146.53265
735	20141.0527
736	20134.09964
737	20130.11873
738	20125.07798
739	20119.99541
740	20116.29222
741	20112.02273
742	20109.03912
743	20104.16765
744	20098.57437
745	20093.80681
746	20090.08777
747	20085.91035
748	20083.40703
749	20079.46579
750	20075.17116
751	20069.9765
752	20064.91953
753	20060.5523
754	20056.14137
755	20051.69057
756	20046.91829
757	20043.29724
758	20039.86496
759	20035.8474
760	20030.99726
761	20026.80344
762	20021.94305
763	20018.62294
764	20013.38637
765	20007.81672
766	20001.18066
767	19997.01309
768	19992.39779
769	19986.9374
770	19981.85008
771	19976.56283
772	19971.63261
773	19968.53897
774	19963.29762
775	19959.96247
776	19955.09932
777	19951.04301
778	19947.15012
779	19942.69716
780	19939.07783
781	19936.34515
782	19931.40082
783	19926.64087
784	19921.68807
785	19917.03933
786	19912.89066
787	19908.64542
788	19904.0175
789	19900.56254
790	19897.01291
791	19893.35272
792	19887.77692
793	19883.68933
794	19881.34049
795	19878.24627
796	19875.30844
797	19872.66037
798	19869.65077
799	19864.5852
800	19862.27632
801	19858.37731
802	19854.77228
803	19851.07005
804	19847.91147
805	19845.08268
806	19840.23714
807	19837.63738
808	19833.15656
809	19829.43317
810	19825.37535
811	19822.02629
812	19819.4531
813	19813.53245
814	19809.64511
815	19804.35902
816	19801.05367
817	19798.3631
818	19794.18581
819	19790.54969
820	19787.74463
821	19784.70311
822	19779.82509
823	19776.24809
824	19773.84387
825	19770.65179
826	19767.62266
827	19764.2809
828	19761.29185
829	19757.23253
830	19754.74555
831	19750.57811
832	19746.80926
833	19743.54514
834	19740.65517
835	19737.56094
836	19734.33854
837	19730.90858
838	19727.19455
839	19724.67707
840	19721.65844
841	19718.23904
842	19716.07813
843	19713.74813
844	19709.88097
845	19705.77736
846	19702.34542
847	19699.55836
848	19697.14082
849	19694.17127
850	19688.17344
851	19684.15745
852	19679.69879
853	19676.67188
854	19671.9827
855	19669.53752
856	19665.78002
857	19661.78096
858	19658.29244
859	19655.00627
860	19652.83408
861	19649.35144
862	19647.64376
863	19645.01673
864	19641.46854
865	19635.68822
866	19631.69341
867	19628.77131
868	19625.58201
869	19622.01782
870	19618.3202
871	19614.99099
872	19611.8421
873	19608.21108
874	19605.27056
